entry_time,exit_time,side,entry_price,exit_price,reason,net_pnl
1786579500000,1786580160000,SHORT,0.00267003297,0.00268496096925,structural_stop,-6.593737387304496
1786595400000,1786600860000,LONG,0.0027150714799999997,0.0027138960832499997,structural_stop,-1.4326991242326341
1786848600000,1786849440000,SHORT,0.00260803917,0.00261516899075,structural_stop,-3.735152808450686
1787155500000,1787158860000,LONG,0.00270647062,0.0027051344594999998,structural_stop,-1.4934442701433162
1787219700000,1787223480000,SHORT,0.0030835916100000003,0.003118581827,structural_stop,-12.352901595325049
1787275200000,1787275320000,LONG,0.00321812178,0.0031971277552500003,structural_stop,-7.5204268738471
1787283300000,1787303220000,LONG,0.00323452342,0.003438106155,structural_stop,61.802533250014314
1787344500000,1787344680000,LONG,0.0038667866399999997,0.0038380061610000004,structural_stop,-8.439274891179242
1787379000000,1787380800000,SHORT,0.00403739622,0.0041045804170000005,structural_stop,-17.648796758050207
1787381400000,1787385900000,LONG,0.00412081204,0.00410127733125,structural_stop,-6.18402121719304
1787387100000,1787389980000,SHORT,0.00412338762,0.0041518776462500006,structural_stop,-7.912828453204062
1787397600000,1787398320000,SHORT,0.00398590137,0.004035248484499999,structural_stop,-13.386605556486417
1787498100000,1787499600000,SHORT,0.00406539342,0.004111601118999999,structural_stop,-12.371790641974263
1787502000000,1787504820000,SHORT,0.00407379258,0.004112601219000001,structural_stop,-10.531178271108958
1787595900000,1787595960000,SHORT,0.0040185981,0.0040412190815,structural_stop,-6.6318873964404235
1787657700000,1787658900000,LONG,0.0040524052,0.00402770468925,structural_stop,-7.0922240684681155
1787670300000,1787672160000,SHORT,0.00395090487,0.0039804005002500005,structural_stop,-8.46927072053893
1787694600000,1787695380000,SHORT,0.00382611735,0.0038478497465,structural_stop,-6.682853062060403
1787696100000,1787696760000,LONG,0.0038604860099999997,0.00384005345625,structural_stop,-6.290094931110698
1787701200000,1787704260000,SHORT,0.0038392160399999997,0.0038310180635000002,structural_stop,1.2359032153474498
1787878200000,1787878620000,SHORT,0.0038728126799999997,0.00389528698975,structural_stop,-6.805999092338014
1787904900000,1787905140000,SHORT,0.00378822114,0.0038003925012500004,structural_stop,-4.214555455077118
1787930100000,1787930700000,SHORT,0.00378742122,0.00381691915375,structural_stop,-8.792289529622195
1787936700000,1787937540000,SHORT,0.0036904309200000004,0.00371405386825,structural_stop,-7.404336034590889
1787940300000,1787956680000,SHORT,0.0036882311400000005,0.00367856531975,structural_stop,1.6220301258357632
1788136200000,1788136620000,SHORT,0.00342935703,0.0034466346289999997,structural_stop,-6.040664371857421
1788236700000,1788237060000,LONG,0.0035613561,0.0035490025642500003,structural_stop,-4.467038576154906
1788505500000,1788508320000,LONG,0.00364216418,0.0036346040032500006,structural_stop,-3.0746996258758412
1788536100000,1788539340000,SHORT,0.00351624834,0.003533133278,structural_stop,-5.778225188156123
1788554100000,1788556500000,LONG,0.00357555752,0.0035683406302500003,structural_stop,-3.0173864536585047
1788703800000,1788711060000,SHORT,0.00360443952,0.00358633609775,structural_stop,4.12434564615066
