entry_time,exit_time,side,entry_price,exit_price,reason,net_pnl,funding
1786312080000,1786313520000,1,0.023359335699999997,0.022947705000000002,opposite_break,-18.6128675033338,0.0
1786313520000,1786316940000,-1,0.022947705000000002,0.022970296799999998,opposite_break,-1.9849828512261112,0.0
1786316940000,1786317420000,1,0.022970296799999998,0.022361763599999997,opposite_break,-27.4789322791859,0.0
1786317420000,1786327800000,-1,0.022361763599999997,0.018885888400000002,opposite_break,155.5743275368851,1.0582779172569374
1786327800000,1786328760000,1,0.018885888400000002,0.0184091589,opposite_break,-26.230009050037687,0.0
1786328760000,1786331880000,-1,0.0184091589,0.0183068305,opposite_break,4.561338503086125,0.0
1786331880000,1786333620000,1,0.0183068305,0.0182531745,opposite_break,-3.9294624211437994,0.0
1786333620000,1786335900000,-1,0.0182531745,0.019021901999999997,opposite_break,-42.857586939740074,0.2781995641360905
1786335900000,1786337340000,1,0.019021901999999997,0.0179212077,opposite_break,-58.83564403023402,0.0
1786337340000,1786338960000,-1,0.0179212077,0.0183658364,opposite_break,-25.822602460547227,0.0
1786338960000,1786339500000,1,0.0183658364,0.0176142384,opposite_break,-41.903239288356026,0.0
1786339500000,1786341480000,-1,0.0176142384,0.017951795,opposite_break,-20.17343064347309,0.0
1786341480000,1786350120000,1,0.017951795,0.0261943803,opposite_break,456.3167986348998,-1.604663388814322
1786350120000,1786352940000,-1,0.0261943803,0.028142814,opposite_break,-75.42084502567897,0.0
1786352940000,1786362480000,1,0.028142814,0.0288451152,opposite_break,23.942425778744145,0.0
1786362480000,1786364400000,-1,0.0288451152,0.0311741171,opposite_break,-80.29153025050142,1.4904803184838726
1786364400000,1786367340000,1,0.0311741171,0.0310598937,opposite_break,-4.66221400701669,0.0
1786367340000,1786373280000,-1,0.0310598937,0.028455845299999998,opposite_break,82.88149841607485,0.0
1786373280000,1786385820000,1,0.028455845299999998,0.0287221275,opposite_break,7.522000035964572,-0.8310540059760588
1786385820000,1786387920000,-1,0.0287221275,0.0291919189,opposite_break,-17.36460584961887,0.0
1786387920000,1786389960000,1,0.0291919189,0.0288121185,opposite_break,-14.003958427686573,0.0
1786389960000,1786398000000,-1,0.0288121185,0.0291539151,opposite_break,-12.038010004713794,0.8308672630233698
1786398000000,1786400880000,1,0.0291539151,0.028952104500000003,opposite_break,-7.918785830586362,0.0
1786400880000,1786403820000,-1,0.028952104500000003,0.0290819079,opposite_break,-5.485625620064895,0.0
1786403820000,1786404480000,1,0.0290819079,0.0286451352,opposite_break,-16.01119923600327,0.0
1786404480000,1786406280000,-1,0.0286451352,0.028925892300000002,opposite_break,-10.806114601616573,0.0
1786406280000,1786409940000,1,0.028925892300000002,0.02809719,opposite_break,-30.077611734245487,-0.4427838001733831
1786409940000,1786414080000,-1,0.02809719,0.027647764499999998,opposite_break,15.003387269332023,0.0
1786414080000,1786416840000,1,0.027647764499999998,0.027432256500000002,opposite_break,-8.790873869747994,0.0
1786416840000,1786419240000,-1,0.027432256500000002,0.0273817379,opposite_break,0.8424973279176091,0.0
1786419240000,1786425060000,1,0.0273817379,0.028417158,opposite_break,36.21050517812458,-0.5848456403492198
1786425060000,1786430400000,-1,0.028417158,0.026022602000000002,opposite_break,83.3065755555147,0.0
1786430400000,1786433400000,1,0.026022602000000002,0.025464453300000002,opposite_break,-22.437887942566245,0.0
1786433400000,1786435680000,-1,0.025464453300000002,0.0258195817,opposite_break,-14.68421844628795,0.2687991195750509
1786435680000,1786437660000,1,0.0258195817,0.0251624835,opposite_break,-26.436881918966215,0.0
1786437660000,1786441680000,-1,0.0251624835,0.0256845682,opposite_break,-21.758910476781892,0.0
1786441680000,1786447860000,1,0.0256845682,0.0223957602,opposite_break,-128.9820462778892,0.0
1786447860000,1786450980000,-1,0.0223957602,0.0217191717,opposite_break,29.362160820957467,0.13649363195092618
1786450980000,1786454520000,1,0.0217191717,0.0213738624,opposite_break,-16.890875127157933,0.0
1786454520000,1786455660000,-1,0.0213738624,0.0217571755,opposite_break,-18.942697925761937,0.0
1786455660000,1786457040000,1,0.0217571755,0.0211628835,opposite_break,-28.30110137687678,0.0
1786457040000,1786459020000,-1,0.0211628835,0.021422142,opposite_break,-13.256747963953092,0.0
1786459020000,1786461420000,1,0.021422142,0.0212568741,opposite_break,-8.71095934524203,0.0
1786461420000,1786465140000,-1,0.0212568741,0.020022002,opposite_break,57.16801902449049,0.04613665186077383
1786465140000,1786468740000,1,0.020022002,0.020755924199999998,opposite_break,35.63745707846783,0.0
1786468740000,1786474620000,-1,0.020755924199999998,0.0203140312,opposite_break,20.300614814347743,0.0
1786474620000,1786476180000,1,0.0203140312,0.0197730225,opposite_break,-27.61895073046841,0.0
1786476180000,1786480200000,-1,0.0197730225,0.0203200318,opposite_break,-28.61478067232757,0.06347664265794468
1786480200000,1786483500000,1,0.0203200318,0.019969002899999998,opposite_break,-18.266379747988456,0.0
1786483500000,1786487100000,-1,0.019969002899999998,0.0195709569,opposite_break,18.943160156484286,0.0
1786487100000,1786487520000,1,0.0195709569,0.019264073399999998,opposite_break,-16.67271645516733,0.0
1786487520000,1786491600000,-1,0.019264073399999998,0.019181918,opposite_break,3.2668274768927543,0.0
1786491600000,1786492620000,1,0.019181918,0.019073092500000003,opposite_break,-6.670501106823425,0.0
1786492620000,1786493160000,-1,0.019073092500000003,0.019271926999999998,opposite_break,-11.380166234185394,0.049915686195093956
1786493160000,1786495800000,1,0.019271926999999998,0.0192530745,opposite_break,-1.9777472564106344,0.0
1786495800000,1786498920000,-1,0.0192530745,0.0187888787,opposite_break,23.122271894808325,0.0
1786498920000,1786500720000,1,0.0187888787,0.0187201278,opposite_break,-4.657297790208256,0.0
1786500720000,1786504380000,-1,0.0187201278,0.0183628361,opposite_break,18.09550776945025,0.0
1786504380000,1786511100000,1,0.0183628361,0.0186131385,opposite_break,12.57386124575837,-0.05024602381546064
1786511100000,1786512840000,-1,0.0186131385,0.0186738672,opposite_break,-4.264310548701843,0.0
1786512840000,1786513260000,1,0.0186738672,0.0181171881,opposite_break,-30.795690120897866,0.0
1786513260000,1786513980000,-1,0.0181171881,0.018806880499999998,opposite_break,-39.087436217543996,0.0
1786513980000,1786515540000,1,0.018806880499999998,0.0185941404,opposite_break,-12.306166907903592,0.0
1786515540000,1786519020000,-1,0.0185941404,0.0189948993,opposite_break,-22.563743782960746,0.0
1786519020000,1786524180000,1,0.0189948993,0.0189351063,opposite_break,-4.196547796386526,-0.05027665505970858
1786524180000,1786525860000,-1,0.0189351063,0.0191559154,opposite_break,-12.66719114484191,0.0
1786525860000,1786529760000,1,0.0191559154,0.019338066,opposite_break,8.504088992792276,0.0
1786529760000,1786531500000,-1,0.019338066,0.0200990097,opposite_break,-40.369199166555696,0.0
1786531500000,1786534140000,1,0.0200990097,0.0204699528,opposite_break,17.4465619940469,0.0
1786534140000,1786541160000,-1,0.0204699528,0.0209640962,opposite_break,-24.83634921010667,0.3156591765468067
