entry_time,exit_time,side,entry_price,exit_price,reason,net_pnl,funding
1786313520000,1786313880000,1,0.00294619459,0.0029547045,confirmed_pivot,1.8869970347071092,0.0
1786316280000,1786317180000,-1,0.00290440953,0.0029029902699999996,confirmed_pivot,-0.5110986879317272,0.0
1786317360000,1786318560000,-1,0.00289741023,0.00287718769,confirmed_pivot,5.98301229853802,0.0
1786318920000,1786319040000,-1,0.00287691228,0.00288068804,confirmed_pivot,-2.31309108945099,0.0
1786320120000,1786320600000,-1,0.00287461251,0.0028911890900000002,opposite_break,-6.769427438413327,0.0
1786324620000,1786324740000,1,0.00290749072,0.00290320965,confirmed_pivot,-2.4716915295950557,0.0
1786326300000,1786326900000,1,0.00290339031,0.00292810716,confirmed_pivot,7.508842744949364,0.0
1786331640000,1786331880000,-1,0.00289701027,0.0028976897400000002,confirmed_pivot,-1.234659069745116,0.0
1786338780000,1786339500000,-1,0.00288631134,0.0028922892,opposite_break,-3.072142685064723,0.0
1786341300000,1786341480000,1,0.0029062906,0.00290280969,confirmed_pivot,-2.1971168832875776,0.0
1786347840000,1786348260000,-1,0.00289581039,0.00289418939,confirmed_pivot,-0.43994589369497317,0.0
1786348380000,1786349820000,-1,0.0028917108,0.00289378935,confirmed_pivot,-1.6191667835524721,0.09998856040514148
1786351140000,1786351980000,-1,0.00288941103,0.00289948992,opposite_break,-4.489960182300572,0.0
1786352220000,1786353600000,1,0.00290159013,0.00289361061,opposite_break,-3.7486756856315986,0.0
1786356480000,1786356960000,-1,0.0028740125700000003,0.0028747874499999997,confirmed_pivot,-1.2697508869974587,0.0
1786358580000,1786358760000,1,0.0028837883500000003,0.00287941203,confirmed_pivot,-2.516800579349175,0.0
1786359900000,1786360080000,-1,0.00287281269,0.00287388736,confirmed_pivot,-1.3742699058462244,0.0
1786360680000,1786361040000,1,0.00288118809,0.0028784121300000002,confirmed_pivot,-1.9629957966401401,0.0
1786361280000,1786361580000,1,0.00288368834,0.00288291168,confirmed_pivot,-1.2691940246219673,0.0
1786362420000,1786364640000,1,0.00288748872,0.00289631034,confirmed_pivot,2.053590869092686,0.0
1786366680000,1786366860000,-1,0.00287781219,0.00287868784,confirmed_pivot,-1.3044284224121006,0.0
1786369200000,1786369380000,-1,0.0028721127600000004,0.00287418739,confirmed_pivot,-1.722697013817648,0.0
1786373040000,1786373580000,1,0.00289018899,0.00287701227,opposite_break,-5.556840983606365,0.0
1786375080000,1786375680000,-1,0.00286011396,0.0028562856,confirmed_pivot,0.3392033441913229,0.0
