symbol,period,variant,cost_mult,trades,net_pnl,fees,funding,win_rate,profit_factor,max_drawdown
龙虾USDT,development,peak_exit_trend_entry,1.0,543,128.11771058561436,543.276313376209,0.8612726687825559,32.41252302025783,1.0493623892356674,488.8807219251942
龙虾USDT,development,peak_reverse,1.0,1910,-1853.9247366803086,1910.7250765139177,-4.3093634589550875,35.340314136125656,0.8331691333196514,2325.4247955646642
龙虾USDT,development,opposite_break,2.0,531,-2004.3653658195965,1063.4095162502654,5.269123679619019,29.37853107344633,0.6894476043203657,2482.3212168423024
龙虾USDT,development,peak_exit_trend_entry,2.0,543,-523.8729337476053,1086.5571035170567,0.8623936775610326,29.465930018416206,0.827947762903876,1068.724327603838
龙虾USDT,development,peak_reverse,2.0,1910,-4146.934428481116,3821.450179034897,-4.303911886753844,31.57068062827225,0.6718643826682911,4542.496035742937
龙虾USDT,validation,opposite_break,1.0,238,-358.0058823432149,237.97045874207785,0.5406613461470104,28.991596638655462,0.8535722673995305,639.2197027326887
龙虾USDT,validation,peak_exit_trend_entry,1.0,270,-391.5581228456344,270.0495784817552,0.604086409757213,31.85185185185185,0.6827770119820704,435.19645020941743
龙虾USDT,validation,peak_reverse,1.0,910,-1363.2830113012071,909.9781689557581,-2.333540447544436,35.604395604395606,0.7379922081208092,1402.7222163484153
龙虾USDT,validation,opposite_break,2.0,238,-643.5633668565125,475.94094635819204,0.5418517849555605,28.571428571428573,0.7569343885285443,869.512770907096
龙虾USDT,validation,peak_exit_trend_entry,2.0,270,-715.6418282945007,540.1123867884166,0.6043447231603443,25.185185185185187,0.5115359243666441,754.4770602158294
龙虾USDT,validation,peak_reverse,2.0,910,-2455.251386753288,1819.95644630491,-2.332356489031719,31.208791208791208,0.5859968547688269,2494.0866186746166
龙虾USDT,full,opposite_break,1.0,768,-1708.7439563649855,768.6824580496195,5.796690738446933,30.859375,0.7976940578870968,2210.3926196831776
龙虾USDT,full,peak_exit_trend_entry,1.0,813,-263.44041226001985,813.3258918579642,1.4653590785397692,32.226322263222634,0.9312127021710288,881.8022378769781
龙虾USDT,full,peak_reverse,1.0,2822,-3221.2980776898844,2822.71040932065,-6.642903906499522,35.47129695251595,0.8027008283076892,3665.014702857417
龙虾USDT,full,opposite_break,2.0,768,-2631.292903741611,1537.365120658183,5.80341272356623,29.166666666666668,0.7105604004728105,3114.7310421105813
龙虾USDT,full,peak_exit_trend_entry,2.0,813,-1239.5147620421062,1626.6694903054736,1.4667384007213775,28.04428044280443,0.7251590039889491,1784.366155898339
龙虾USDT,full,peak_reverse,2.0,2822,-6608.686174844805,5645.420953498665,-6.636268375785563,31.5024805102764,0.6443031283399198,6999.132061545983
