symbol,side,timestamp,label_end,price,atr,adverse_1m_atr,favorable_1m_atr,bad_1m,bad_close_1m,bad_3m,net_1m_bps,return_1_atr,return_3_atr,return_6_atr,body_atr,body_ratio,rejection_wick_ratio,extension_atr,ma3_slope_atr,ma3_acceleration_atr,ma15_slope_atr,volume_shock,volume_change,atr_regime,opening_gap_atr,short_side,pepe_asset
龙虾USDT,LONG,1786312080000,1786312260000,0.023357,0.00014289999999999998,0.0,0.9447165850244907,0,0,1,14.528579483666743,0.4618614415675304,1.18964310706788,1.140657802659202,0.48985304408675406,0.3153153153153025,0.5315315315315318,1.4079197022240713,0.39654770235596,0.20993701889434746,0.07184511313271293,1.0476502419367237,0.6965973814773122,0.7500656110576506,-0.02099370188942989,0.0,0.0
龙虾USDT,LONG,1786312140000,1786312320000,0.023418,0.0001291999999999998,1.1996904024768003,0.1702786377708804,1,0,1,-30.350927555727385,0.4566563467492269,1.4551083591331073,1.749226006191957,0.47987616099070934,0.459259259259257,0.5407407407407431,1.8353393717782012,0.48503611971103583,0.04643962848296494,0.12022703818370574,0.661843714826651,0.4227458252463903,0.6809198390808631,-0.007739938080476255,0.0,0.0
龙虾USDT,LONG,1786312440000,1786312620000,0.023458,0.0001342999999999997,0.0,0.6478034251675389,0,0,1,12.710206709864098,0.40953090096797934,0.1935964259121244,0.6701414743112436,0.4244229337304405,0.518181818181805,0.45454545454547174,1.422935982288289,0.06453214197071674,0.014892032762512839,0.08587738893028835,0.723100506249633,0.7466601625422707,0.7168082551260938,0.059568131049896354,0.0,0.0
龙虾USDT,LONG,1786312500000,1786312680000,0.023515,0.00013580000000000016,1.0751104565537564,0.17673048600883423,1,1,1,-57.05056572400634,0.4860088365243005,1.2960235640647928,0.7142857142857124,0.42709867452134725,0.6666666666666534,0.33333333333334664,1.652256731189068,0.43200785468825575,0.368188512518394,0.153657339224331,0.543434074195773,0.5318140512735654,0.7263780054023706,-0.007363770250349996,0.0,0.0
龙虾USDT,LONG,1786312800000,1786312980000,0.023658,0.00013190000000000006,1.7058377558756588,0.03790750568613744,1,1,1,-107.04819141516587,1.2054586808187973,2.26686884003033,1.5542077331311617,1.2661106899166066,0.6653386454183253,0.3346613545816746,2.2819453335949618,0.7556229466767591,0.5357594136972198,0.2350265352539522,1.579241928804355,1.769545720752539,0.7191342038546471,0.022744503411671942,0.0,0.0
1000PEPEUSDT,LONG,1786313520000,1786313700000,0.0029459,2.919999999999919e-06,0.41095890410953617,0.9589041095890167,0,0,0,-2.500966971044853,0.6506849315068646,1.7808219178082376,2.7397260273974027,0.6506849315068646,0.9047619047620424,0.04761904761897878,1.670585234891705,0.5936073059361286,0.13698630137009293,0.07534246575342486,0.5348709777394182,0.43646740931897887,0.7621367670088605,0.0,0.0,1.0
龙虾USDT,SHORT,1786313520000,1786313700000,0.02295,0.00015679999999999964,0.7653061224489723,0.031887755102050656,1,0,1,-41.647408888888,1.817602040816312,3.093112244897962,2.889030612244895,1.8622448979591697,0.4649681528662374,0.5302547770700635,2.52867013662332,1.0310374149659947,0.6590136054422032,0.1683673469387717,3.0371670517052953,3.760729233718542,0.9543517954960423,0.06377551020407918,1.0,0.0
1000PEPEUSDT,SHORT,1786314720000,1786314900000,0.0029406,3.329999999999913e-06,0.0,1.3213213213213229,0,0,0,2.9719112426042154,0.570570570570583,0.9609609609610094,1.321321321321453,0.600600600600696,0.38461538461544237,0.6153846153845577,1.505645494256599,0.32032032032024965,0.08008008007986706,0.3303303303302005,1.0495863892716597,0.7573397308796299,0.7554160837838735,-0.0,1.0,1.0
1000PEPEUSDT,SHORT,1786314780000,1786314960000,0.0029362,3.2299999999998996e-06,0.1238390092879997,3.003095975232314,0,0,0,7.4244952149041215,1.362229102167191,2.3529411764706514,2.755417956656449,1.362229102167191,1.0,0.0,2.6369186262953668,0.7843137254902619,0.45407636738919793,0.3900928792570782,0.3394481130168748,0.20927560337953227,0.7409106548916002,-0.0,1.0,1.0
1000PEPEUSDT,SHORT,1786316280000,1786316460000,0.0029047,4.369999999999982e-06,0.36613272311213857,0.09153318077808426,0,0,0,-14.755809687747,0.20594965675063998,0.297482837528625,-1.9908466819221915,0.18306636155606928,0.3636363636363816,0.5454545454544738,1.3980219206752338,0.09916094584287499,0.16781083142638858,0.14950419527079156,0.49224714674741676,0.5852165009205919,1.062441752096936,-0.022883295194570684,1.0,1.0
龙虾USDT,SHORT,1786316400000,1786316580000,0.022568,0.00012250000000000005,0.08979591836732342,0.3102040816326516,0,0,1,-16.877082838530953,0.19591836734693638,0.963265306122449,3.1020408163265163,0.2612244897959246,0.33684210526317365,0.10526315789473492,1.3637491983063994,0.32108843537416853,-0.3074829931972653,0.11210884353740054,0.5262011629375403,0.5161595854782519,0.657971299918537,-0.06530612244898823,1.0,0.0
龙虾USDT,LONG,1786316940000,1786317120000,0.022968,0.00010649999999999965,0.6197183098591578,0.21596244131457523,1,0,1,-21.572797413792156,1.0798122065727784,2.159624413145557,2.600938967136154,1.0798122065727784,0.7718120805369171,0.0335570469798528,1.8758490645731245,0.719874804381874,0.3286384976526187,0.029420970266028947,1.1500452309142224,1.0759760821289885,0.5835190123096009,-0.17840375586856072,0.0,0.0
1000PEPEUSDT,SHORT,1786317000000,1786317180000,0.0029019,2.9500000000000446e-06,0.5762711864407751,0.2033898305084397,1,0,1,-14.758468727385306,0.33898305084749747,0.711864406779686,1.5254237288135917,0.37288135593233546,0.2500000000000986,0.6363636363636185,1.5793159904159175,0.23728813559342465,-0.25988700564934625,0.09039548022589153,0.6044673708848369,0.8321355277626935,0.7284550168738363,-0.0,1.0,1.0
1000PEPEUSDT,SHORT,1786317360000,1786317540000,0.0028977,2.6900000000000276e-06,0.0,0.9665427509294219,0,0,0,-12.000000000000444,0.48327137546471094,1.8959107806691515,1.5613382899627264,0.48327137546471094,0.5,0.5,2.310292762762266,0.6319702602231579,0.33457249070642514,0.1412639405204118,0.6475392477418015,0.46804125301208477,0.6737351811654826,-0.0,1.0,1.0
龙虾USDT,SHORT,1786317420000,1786317600000,0.022364,0.00022560000000000012,0.1950354609929182,1.4007092198581412,0,0,0,127.14622408781926,0.4166666666666679,0.8377659574468155,3.718971631205685,0.3191489361702242,0.30901287553649576,0.6137339055793952,1.6398062829959725,0.2792553191489385,-0.1979905437352328,0.07712765957447136,1.1493964974232567,0.48926212983159223,1.2256539809306493,-0.0,1.0,0.0
龙虾USDT,SHORT,1786318560000,1786318740000,0.021743,0.00018879999999999974,1.1705508474576416,0.04237288135591951,1,1,1,-96.67571595456093,0.23305084745764,1.5730932203389965,1.8802966101695002,0.29131355932205,0.2910052910053095,0.301587301587294,1.7430367639410536,0.5243644067796717,0.06355932203390682,0.060028248587544984,0.5095838009098665,0.3640288587086095,0.8991546612691977,-0.0,1.0,0.0
龙虾USDT,SHORT,1786318800000,1786318980000,0.021719,0.0001872000000000002,0.6730769230769282,0.12286324786324086,1,0,1,-48.395508057461804,0.5608974358974402,1.1965811965811872,1.5811965811965853,0.7104700854700909,0.8109756097561001,0.10975609756097897,1.4446444158783849,0.3988603988604019,0.5146011396011594,0.1121794871794695,0.3570606567393012,0.7336768896095399,0.9262664830407151,-0.08547008547007819,1.0,0.0
1000PEPEUSDT,SHORT,1786320120000,1786320300000,0.0028749,3.7899999999999565e-06,1.319261213720278,0.026385224274478793,1,1,1,-24.529688615255722,0.44854881266499524,1.952506596306167,1.4248021108179643,0.4749340369393596,0.3000000000000289,0.14999999999997832,1.371693798178831,0.6508355321019412,0.4573438874230785,0.11961301671073404,1.3480132452956533,0.6242426462505599,1.1264117297404146,-0.026385224274478793,1.0,1.0
龙虾USDT,SHORT,1786320240000,1786320420000,0.021408,0.0002309000000000002,0.44174967518406805,0.2208748375920265,0,0,1,-7.793441493835334,0.4460805543525285,1.3772195755738352,1.4811606756171427,0.4157644001732299,0.7441860465116154,0.1937984496124077,1.4538508825916239,0.45907319185795514,-0.01010538472643288,0.06554063808285052,0.6313529189391944,0.6438507059289185,1.1528667720728984,-0.0,1.0,0.0
1000PEPEUSDT,LONG,1786320600000,1786320780000,0.0028909,4.469999999999951e-06,0.20134228187916534,3.512304250559323,0,0,0,36.744476477912066,0.9172259507829936,2.147651006711388,2.684563758389259,0.939597315436202,0.7241379310344673,0.2758620689655327,1.9955092629164435,0.7158836689038284,0.3579418344519142,0.14914243102171176,0.8585508359588323,0.9763506585425354,1.251458168074262,-0.022371364653208253,0.0,1.0
龙虾USDT,SHORT,1786321020000,1786321200000,0.021185,0.0002134000000000004,0.18275538894095955,0.7263355201499466,0,0,0,43.7332102430969,0.435801312089968,1.9400187441424575,1.377694470477969,0.46860356138706283,0.4761904761904691,0.5142857142857119,1.8997145367226498,0.646672914714147,-0.11402686660419163,0.15807560137457433,0.7646867317286096,0.9399429915207809,0.9456285726946443,0.03748828491097023,1.0,0.0
1000PEPEUSDT,SHORT,1786322700000,1786322880000,0.0028858,4.760000000000007e-06,0.5252100840335913,0.0,1,1,1,-20.321575022524307,0.5672268907563041,1.9537815126050069,2.0378151260503414,0.5462184873949021,0.6666666666666295,0.3333333333333704,1.6696184487837133,0.6512605042016386,0.3711484593837354,0.16106442577026245,0.7878506426713727,0.26996741478069725,1.1763736716368745,-0.02100840336131085,1.0,1.0
